gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,science score
female,group B,bachelor's degree,standard,none,72,72,74,69
female,group C,some college,standard,completed,69,90,88,80
female,group B,master's degree,standard,none,90,95,93,85
male,group A,associate's degree,free/reduced,none,47,57,44,55
male,group C,some college,standard,none,76,78,75,43
female,group B,associate's degree,standard,none,71,83,78,56
female,group B,some college,standard,completed,88,95,92,78
male,group B,some college,free/reduced,none,40,43,39,33
male,group D,high school,free/reduced,completed,64,64,67,67
female,group B,high school,free/reduced,none,38,60,50,8
male,group C,associate's degree,standard,none,58,54,52,88
male,group D,associate's degree,standard,none,40,52,43,54
female,group B,high school,standard,none,65,81,73,43
male,group A,some college,standard,completed,78,72,70,22
female,group A,master's degree,standard,none,50,53,58,77
female,group C,some high school,standard,none,69,75,78,88
male,group C,high school,standard,none,88,89,86,99
female,group B,some high school,free/reduced,none,18,32,28,76
male,group C,master's degree,free/reduced,completed,46,42,46,776
female,group C,associate's degree,free/reduced,none,54,58,61,
male,group D,high school,standard,none,66,69,63,88
female,group B,some college,free/reduced,completed,65,75,70,99
male,group D,some college,standard,none,44,54,53,66
female,group C,some high school,standard,none,69,73,73,89
male,group D,bachelor's degree,free/reduced,completed,74,71,80,66
male,group A,master's degree,free/reduced,none,73,74,72,88
male,group B,some college,standard,none,69,54,55,7
female,group C,bachelor's degree,standard,none,67,69,75,88
male,group C,high school,standard,none,70,70,65,99
female,group D,master's degree,standard,none,62,70,75,98
female,group D,some college,standard,none,69,74,74,97
female,group B,some college,standard,none,63,65,61,98
female,group E,master's degree,free/reduced,none,56,72,65,66
male,group D,some college,standard,none,40,42,38,87
male,group E,some college,standard,none,97,87,82,66
male,group E,associate's degree,standard,completed,81,81,79,77
female,group D,associate's degree,standard,none,74,81,83,87
female,group D,some high school,free/reduced,none,50,64,59,89
female,group D,associate's degree,free/reduced,completed,75,90,88,56
male,group B,associate's degree,free/reduced,none,57,56,57,78
male,group C,associate's degree,free/reduced,none,55,61,54,98
female,group C,associate's degree,standard,none,58,73,68,7
female,group B,associate's degree,standard,none,53,58,65,87
male,group B,some college,free/reduced,completed,59,65,66,78
female,group E,associate's degree,free/reduced,none,50,56,54,76
male,group B,associate's degree,standard,none,65,54,57,75
female,group A,associate's degree,standard,completed,55,65,62,78
female,group C,high school,standard,none,66,71,76,85
female,group D,associate's degree,free/reduced,completed,57,74,76,93
male,group C,high school,standard,completed,82,84,82,96
male,group E,some college,standard,none,53,55,48,69
male,group E,associate's degree,free/reduced,completed,77,69,68,80
male,group C,some college,standard,none,53,44,42,85
male,group D,high school,standard,none,88,78,75,55
female,group C,some high school,free/reduced,completed,71,84,87,43
female,group C,high school,free/reduced,none,33,41,43,56
